node_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
10,0.64202744,0.019227142,-0.8533733,-0.53010225,-0.33340105,0.040346425,-0.025213994,0.008547982,-0.48958614,0.2919728,-1.6192675,-0.2001752,-0.7317542,-0.7402815,-0.6862959,0.23824763,1.01322,1.1165814,-1.1293778,0.98012906,-0.012122898,-0.4635874,0.042190142,-0.46535736,0.43271533,-0.06946854,0.81530255,-0.83370554,-0.46123704,0.13975284,0.34554344,-0.5388194,-0.5429354,0.5875615,0.33363572,-0.17268714,-0.20407198,0.5727594,-0.59484816,0.8784106,-0.45018446,0.41409457,0.005221697,-0.0985309,1.163082,-0.72426283,-0.16157627,-0.24674492,0.26937658,-0.058310878,-0.102822855,-0.23304218,0.6564723,-0.55662555,0.002556248,0.35431212,0.97031575,0.34008563,0.78472525,0.3719224,1.0157171,0.49943998,0.20452598,0.6292099
11,-0.30206716,0.15665157,-1.2524729,0.25343594,0.24159276,0.47289595,0.166039,-1.2107493,-0.6698155,1.154068,0.60964644,-0.37405303,-1.1312765,-0.46431583,0.6372726,-0.7967558,0.28563577,0.5752403,-0.06531112,0.9770208,-0.36614418,-0.05280519,-0.025657194,0.14147866,-0.5150967,-0.3155049,0.38862506,-0.6978891,-0.8264794,-0.43233353,-0.6434021,-0.43319362,0.007132581,0.41829038,-0.05403523,0.32501176,0.13055383,1.5489664,0.14464238,-0.40193915,-0.7722264,0.37420997,0.39830786,-0.4452056,0.4586932,-0.43563807,0.8379464,-0.42102593,-0.307203,0.3415528,0.030727498,0.29298636,0.2844755,-1.0406095,0.5517864,0.41457453,1.2609383,-0.046470694,-0.4050922,-0.74040276,0.24267048,0.63314533,0.05852147,0.2818895
12,1.0460753,-0.99472594,-0.78379375,-0.61468637,-0.19579157,0.06325997,-0.2014989,-1.089182,-1.0246137,-0.1586791,-0.10534448,0.8903535,-1.5705024,0.12343457,-0.24925865,-0.7065418,-0.3198286,1.0711302,-0.85726464,-0.38655594,-0.1253662,0.1612675,-0.048562564,0.49742666,-0.6267048,-0.0023947642,0.26019245,0.57266015,-0.4136518,0.016255071,0.4023739,0.08502077,-1.0634621,0.2940638,0.7516403,0.11845109,0.6718493,0.7052132,0.9253936,0.6673752,0.10538729,-0.44618684,0.47731444,0.052938163,-0.5081317,-0.04004175,-0.8349456,-0.10041089,-0.9971612,-0.26266044,-0.23818524,0.3262661,0.08752235,-0.9925692,0.025416797,-0.4919214,0.5679076,0.24146363,0.68129,0.1085255,0.41651505,0.6656705,1.1982481,0.48984385
13,0.47121838,-0.38387883,-1.033946,-0.48580402,-0.31559974,0.9584074,-0.4240139,0.37547606,-0.9486488,0.8409104,0.55340475,0.8198751,-1.1140145,-0.5815451,0.3684497,-0.09202777,-0.08420788,0.30344617,-0.28065363,0.72733283,-0.6872777,-0.1274344,0.1138771,-0.056563087,-0.5773398,-0.014058678,0.30433318,-0.3385223,-0.10246061,-0.026279239,0.1947895,0.93804204,0.32982197,-0.17130624,0.9970971,0.6836305,-0.27244622,0.43942356,0.5848753,0.62600917,-0.6533019,1.3201764,0.11048142,-0.32611147,-0.15013461,0.829574,0.5542027,-0.46871144,-1.4893079,-0.26369444,0.5170282,-0.41989872,0.17382388,-0.6741967,0.3639934,0.06868004,1.2408701,0.75887495,0.20734362,0.56682193,0.4604085,0.6741915,0.3827334,0.57282066
14,0.7741807,-0.4390854,0.017555162,-0.55209774,-0.024599906,1.743344,0.17623246,0.65944225,-0.872523,0.7450127,0.56490284,-0.044344243,-0.7089745,-1.0967462,0.04848544,-0.02058463,0.7059106,0.6266604,-0.19439128,-0.44569632,0.53692734,-0.16914415,-0.6475848,-1.129636,0.2453279,-0.45358324,-0.3684988,-0.53828365,0.22342932,0.99919313,-0.512967,0.83667815,-0.20713565,0.06983522,-0.1609362,0.48592976,-0.08041465,-0.027705926,1.663996,-0.018758755,-0.58312815,-0.13078374,-0.4693412,-0.6717631,0.10146631,-0.39342895,0.080667034,1.1695257,0.11881462,-0.074553974,-0.40225562,0.508329,-0.7207363,-0.8050217,0.6967244,-0.28892544,0.27219954,0.20282796,0.660018,-1.011092,0.433509,1.0447049,-0.006220316,0.9233191
15,0.38803998,-0.21089636,-0.34239408,-0.42073387,1.1978527,0.271066,-0.67253053,-0.8387388,0.16889271,0.26470608,-0.74803567,0.0774263,-0.7501679,-0.7800908,1.0385157,0.5510559,0.13212886,0.9136737,-1.0016124,0.9759418,0.06726493,0.5371635,-0.44035462,-0.31240883,0.03151382,-0.3238822,0.12089215,-0.8662121,-0.4418313,0.3262222,0.06846433,-0.05357058,-0.8589335,-0.4465792,0.48213086,-0.1340595,-0.085116126,0.6040023,1.5430968,-0.12488935,-0.0451086,-0.13134997,-0.8990329,-0.36650524,0.017236836,-0.016659144,0.94719183,-0.43383074,-1.067626,0.08544295,-0.6489746,0.7975588,-0.26498473,-0.6306042,0.37962863,-0.16168642,0.8519204,-0.63103443,1.0913683,-0.23452905,0.46210685,0.6829669,-0.26230723,0.70706415
16,0.269959,-0.820856,-1.0783453,-0.59406674,0.5178661,0.95673215,-0.22921625,0.18710291,-1.3526492,0.40025204,0.06418597,1.1297808,-0.41203478,-0.43649793,0.5382632,-0.31485602,0.48989597,0.6197937,-0.8636866,0.63464224,-0.5461969,0.21646821,0.61758286,-0.64322627,0.392302,-0.64138734,0.24619876,-0.7584155,-0.13622947,0.31548533,-0.0047560357,-0.85762864,0.6246928,-0.120654985,-0.44061735,-0.061999824,1.3882622,0.52875394,0.04202204,0.39139676,-0.30954424,0.28685606,-0.66352564,0.5566242,0.020015806,-0.8504695,1.4158801,0.28671128,-0.0068814713,0.46249488,-0.3149452,1.275954,-0.19726251,-0.4768022,0.17224927,-0.08903072,1.0459856,0.0871309,0.5350378,-0.4254524,0.44835198,0.30787426,-0.60838896,0.16241765
17,0.4689554,-1.118308,-0.4827212,-0.17277373,0.06854478,1.3822918,-0.56319624,-0.21139899,-1.2353712,-0.2163132,-0.02355962,0.09530034,-0.28237,-0.5886809,1.0970644,-0.3403228,0.497417,1.0974092,-0.35213917,0.7974114,-0.9785601,-0.8780281,-0.5021889,-0.059799545,0.29515877,-0.14759521,-0.19188403,0.75772643,-0.69332343,0.4624608,-0.76448333,0.15765783,-0.8174854,0.38303787,0.103623934,-0.25657877,0.23904917,1.2484512,-0.05317846,0.6208311,-0.88276947,-0.12688631,-0.015510648,0.39292386,0.95302224,-0.62499267,-1.0863364,0.21298327,0.20755191,-0.66741467,-0.38238668,-0.37993482,-0.23952839,-0.8029507,-0.631565,-0.04222879,0.2391187,-0.077129826,-0.41250625,-0.8933599,0.6775721,0.640271,-0.33170024,0.37633935
18,1.0807309,-0.71696264,-1.028828,-0.5000876,0.64669037,0.8663389,-1.0092834,-0.56067413,-0.27909806,0.27505073,0.076175556,-0.22397836,-1.5109408,-1.3677094,0.07067967,-0.091429554,-0.19022235,-0.0049721645,-0.71767145,0.9625077,-0.14259522,-0.8089771,0.056639835,-0.5226305,0.023765132,-1.1508454,0.36557668,-0.8128528,0.11151459,0.5829788,0.36914468,0.39196688,-0.9554911,0.79405063,-0.11609921,0.61132455,0.11560923,1.2525178,-0.031938363,0.27039686,0.07786743,-0.24395229,-0.16807778,-0.543847,-0.35016766,-0.18092065,0.31557772,-0.78980863,0.41391107,-0.10253119,-0.8867159,0.39661554,-1.1013427,-0.5814711,0.8487521,0.66240025,0.49796495,0.3103724,-0.6948514,0.374364,0.4104269,0.9677184,0.6870923,0.39610022
19,1.2146754,-0.9102409,-0.24926236,-0.9324644,-0.0076860716,-0.14655349,-0.6765154,-1.1030173,-1.1312605,0.46062645,0.2631364,0.6597677,-2.0376234,0.124381945,-0.21018036,0.056595683,0.5422415,0.27353722,0.17818604,0.22574325,0.35188353,0.0027620695,-0.6996,-0.16310075,-0.51695895,0.25957385,0.8867712,-0.48670456,-0.2817979,-1.6325847,-0.5009612,-0.34051827,-0.6099838,-0.48864067,-0.5677943,0.31704193,-0.29577264,0.009075068,1.0040288,-0.73468846,-0.4463188,0.3302291,0.7689351,0.16876481,0.4226875,-0.5802496,0.009198391,0.16814321,0.16451444,0.44231915,0.68584025,0.6912038,0.5779164,-0.5725371,0.35288808,-0.20299967,0.29808983,-0.8155311,0.5753796,-0.41278303,1.1720978,0.084617935,-0.029035782,0.39278293
